training_step,training_return
138,0
279,0
423,0
590,1
770,1
944,1
1116,1
1304,1
1485,1
1697,2
1906,2
2138,2
2300,1
2482,1
2686,2
2811,0
2936,0
3170,3
3372,2
3658,3
3819,1
3948,0
4091,0
4309,2
4501,1
4631,0
4760,0
4921,1
5092,1
5426,4
5566,0
5872,4
6035,1
6168,0
6360,2
6488,0
6774,3
6951,1
7116,1
7410,4
7550,0
7836,4
8064,2
8256,1
8387,0
8598,2
8750,1
8930,1
9112,1
9278,1
9455,1
9598,0
9742,0
9894,1
10030,0
10213,1
10421,2
10612,1
10743,0
10948,2
11140,1
11332,2
11486,1
11721,2
11862,0
12022,1
12195,0
12357,1
12487,0
12619,0
12803,1
13025,2
13303,4
13510,2
13734,3
13864,0
14076,2
14229,1
14371,0
14508,0
14725,2
14939,2
15071,0
15240,1
15518,3
15720,2
16002,3
16211,2
16343,0
16509,1
16687,1
16871,1
17091,2
17267,1
17406,0
17597,1
17778,1
17966,2
18202,2
18426,2
18592,1
18809,2
18994,1
19140,0
19274,0
19432,1
19637,2
19810,1
19940,0
20066,0
20197,0
20336,0
20460,0
20618,1
20753,0
20965,2
21309,5
21444,0
21588,0
21717,0
21870,1
22035,1
22167,0
22416,3
22643,2
22807,1
22976,1
23166,1
23317,0
23521,2
23677,1
23917,3
24107,2
24309,2
24484,1
24648,1
24866,2
25035,1
25176,0
25353,1
25684,5
25821,0
26042,2
26314,4
26454,0
26593,0
26720,0
26974,3
27121,0
27328,2
27461,0
27586,0
27769,1
27914,0
28083,1
28275,2
28403,0
28697,4
28889,1
29025,0
29212,1
29368,1
29515,0
29674,1
29867,2
30062,1
30226,1
30355,0
30488,0
30671,1
30878,2
31049,1
31187,0
31505,5
31715,2
31861,0
32084,3
32298,2
32474,1
32602,0
32811,2
32990,1
33122,0
33389,3
33528,0
33658,0
33824,1
34062,2
34272,2
34600,8
34734,0
34889,1
35075,2
35267,2
35493,2
35775,4
35980,2
36222,3
36452,3
36685,2
36997,5
37171,1
37332,1
37526,1
37704,1
37939,3
38109,1
38334,2
38501,1
38631,0
38759,0
38927,1
39109,1
39247,0
39419,1
39564,0
39767,2
39891,0
40114,2
40283,1
40433,0
40645,2
40848,2
40991,0
41181,2
41342,1
41488,0
41686,1
41873,1
42056,1
42190,0
42396,2
42582,2
42718,0
42842,0
43088,3
43230,0
43419,2
43561,0
43707,0
43898,1
44095,1
44268,1
44444,1
44576,0
44722,0
44851,0
45026,1
45301,3
45444,0
45626,1
45829,2
45967,0
46138,1
46270,0
46423,1
46606,1
46785,1
46988,2
47140,0
47306,1
47441,0
47592,0
47772,1
47912,0
48053,0
48220,1
48448,2
48623,1
48755,0
48925,1
49108,1
49292,1
49425,0
49580,0
49731,1
49874,0
50008,0
50146,0
50278,0
50455,1
50677,2
50850,1
50978,0
51174,1
51332,1
51564,3
51697,0
51847,0
52131,4
52325,2
52462,0
52584,0
52713,0
52920,2
53066,0
53240,1
53467,2
53665,1
53834,1
53971,0
54102,0
54230,0
54357,0
54486,0
54700,3
54823,0
54962,0
55091,0
55255,1
55394,0
55565,1
55729,1
55863,0
55997,0
56136,0
56309,1
56496,1
56680,1
56822,0
57001,1
57206,2
57477,4
57672,2
57834,1
58023,1
58202,1
58329,0
58480,1
58639,1
58770,0
58966,1
59169,2
59408,3
59591,1
59867,3
60027,1
60248,2
60390,0
60549,1
60734,1
60869,0
61084,2
61244,1
61387,0
61516,0
61692,1
61904,2
62071,1
62213,0
62485,3
62615,0
62748,0
62964,2
63123,1
63263,0
63474,2
63622,0
63902,4
64153,3
64318,1
64548,2
64677,0
64854,1
65026,1
65168,0
65389,2
65612,2
65784,1
66010,2
66238,2
66401,1
66605,2
66798,1
67013,2
67139,0
67311,1
67437,0
67658,2
67786,0
67922,0
68058,0
68237,1
68472,3
68610,0
68829,2
68965,0
69099,0
69431,5
69606,1
69741,0
69896,1
70040,0
70173,0
70356,1
70539,1
70675,0
70829,0
71143,4
71303,1
71533,3
71661,0
71831,1
71978,0
72163,2
72307,0
72449,0
72587,0
72718,0
72857,0
73051,2
73237,1
73378,0
73504,0
73640,0
73843,2
74045,1
74173,0
74345,1
74476,0
74612,0
74770,1
74958,2
75088,0
75249,1
75377,0
75514,0
75656,0
75942,4
76076,0
76210,0
76448,3
76625,1
76834,2
77061,2
77277,2
77406,0
77636,3
77761,0
77886,0
78019,0
78206,1
78482,4
78615,0
78757,0
78973,2
79103,0
79286,1
79445,1
79569,0
79710,0
79839,0
79994,1
80237,3
80372,0
80542,1
80720,1
80863,0
80997,0
81288,4
81449,1
81653,2
81826,1
82032,2
82201,1
82393,1
82524,0
82666,0
82807,0
82992,1
83152,1
83320,1
83626,5
83788,1
83920,0
84144,2
84278,0
84404,0
84657,3
